Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
22,Male,Electronics And Communication,1,8,1,Yes,Yes
21,Female,Computer Science,0,7,1,Yes,Yes
22,Female,Information Technology,1,6,0,No,Yes
21,Male,Information Technology,0,8,0,Yes,Yes
22,Male,Mechanical,0,8,1,No,Yes
22,Male,Electronics And Communication,0,6,0,No,No
21,Male,Computer Science,0,7,0,Yes,No
21,Male,Information Technology,1,7,0,No,No
21,Male,Computer Science,2,6,0,No,Yes
21,Female,Computer Science,1,6,1,No,No
22,Male,Computer Science,1,7,0,No,No
22,Female,Electrical,1,8,0,Yes,Yes
21,Female,Computer Science,2,6,1,Yes,No
21,Male,Computer Science,1,8,0,Yes,Yes
21,Female,Electronics And Communication,2,8,0,No,Yes
22,Male,Mechanical,0,8,1,No,Yes
22,Female,Computer Science,1,7,1,No,No
21,Male,Civil,0,6,0,No,No
21,Male,Computer Science,1,7,0,No,No
22,Male,Computer Science,1,7,0,No,No
22,Male,Civil,0,8,0,No,Yes
21,Male,Computer Science,1,6,0,No,No
22,Male,Civil,0,7,0,No,No
22,Male,Electronics And Communication,1,7,0,Yes,No
22,Male,Electronics And Communication,0,7,0,No,No
21,Male,Electrical,0,8,1,No,Yes
22,Male,Electrical,1,8,0,No,Yes
22,Male,Information Technology,1,8,0,No,Yes
22,Male,Information Technology,1,8,0,No,Yes
21,Male,Information Technology,0,6,0,No,Yes
22,Male,Mechanical,1,8,1,No,Yes
21,Male,Electrical,1,7,0,No,Yes
21,Female,Civil,1,7,0,No,No
21,Male,Electrical,0,7,0,No,No
21,Male,Computer Science,1,6,0,No,Yes
21,Male,Information Technology,1,6,0,No,No
22,Male,Civil,0,7,0,No,Yes
22,Male,Computer Science,1,8,0,No,Yes
22,Male,Information Technology,1,6,0,No,No
22,Male,Electronics And Communication,0,8,0,Yes,Yes
22,Male,Electrical,1,6,0,Yes,No
22,Male,Civil,0,8,1,No,Yes
21,Male,Electrical,1,7,1,Yes,Yes
21,Male,Electrical,1,7,0,No,Yes
22,Female,Information Technology,2,8,0,No,Yes
21,Female,Electronics And Communication,3,6,0,No,Yes
22,Male,Computer Science,1,8,0,No,Yes
21,Male,Electronics And Communication,1,7,0,Yes,Yes
21,Male,Information Technology,2,7,0,No,Yes
21,Female,Electronics And Communication,0,7,0,No,No
22,Male,Electronics And Communication,0,8,0,No,Yes
21,Male,Electrical,1,8,0,No,Yes
21,Female,Computer Science,1,8,1,No,Yes
21,Male,Electrical,3,6,1,Yes,No
21,Female,Electronics And Communication,3,6,0,No,Yes
21,Male,Computer Science,1,7,0,No,Yes
21,Male,Electronics And Communication,0,8,0,No,Yes
21,Male,Civil,0,8,0,No,Yes
21,Male,Electronics And Communication,0,8,0,No,Yes
21,Female,Electrical,1,8,0,No,Yes
21,Male,Computer Science,2,9,0,Yes,Yes
22,Male,Computer Science,0,8,0,No,Yes
21,Male,Information Technology,0,8,0,No,Yes
21,Male,Information Technology,0,9,0,No,Yes
21,Male,Information Technology,1,8,1,No,Yes
22,Male,Mechanical,0,9,0,No,Yes
22,Male,Computer Science,1,9,0,No,Yes
21,Male,Information Technology,0,8,0,No,Yes
22,Male,Computer Science,2,9,0,No,Yes
21,Male,Mechanical,0,8,1,Yes,Yes
22,Male,Electrical,1,8,0,No,Yes
22,Male,Information Technology,0,9,0,No,Yes
22,Male,Computer Science,3,9,0,No,Yes
21,Male,Information Technology,0,8,0,No,Yes
22,Male,Information Technology,1,9,0,No,Yes
21,Male,Civil,0,8,0,No,Yes
21,Male,Mechanical,0,9,1,No,Yes
22,Male,Mechanical,0,8,1,Yes,Yes
22,Male,Information Technology,0,8,0,No,Yes
21,Male,Computer Science,1,8,0,No,Yes
21,Male,Civil,0,9,0,No,Yes
21,Male,Computer Science,1,9,0,No,Yes
22,Male,Mechanical,0,8,1,No,Yes
21,Male,Information Technology,0,8,0,No,Yes
21,Male,Mechanical,0,8,1,No,Yes
21,Male,Electronics And Communication,2,7,0,No,Yes
21,Male,Computer Science,0,8,0,No,Yes
21,Male,Computer Science,0,6,0,No,No
22,Female,Civil,1,6,1,No,No
22,Male,Mechanical,1,7,0,No,No
21,Male,Civil,1,8,0,Yes,Yes
22,Male,Information Technology,1,6,0,No,Yes
21,Male,Electrical,1,6,0,No,Yes
22,Female,Information Technology,2,7,0,No,No
22,Male,Electronics And Communication,0,6,0,No,No
22,Male,Computer Science,1,8,0,No,Yes
21,Male,Computer Science,2,7,0,No,No
22,Male,Information Technology,0,8,0,No,Yes
22,Female,Information Technology,0,7,0,No,No
21,Male,Mechanical,0,7,0,No,No
23,Male,Computer Science,0,7,0,No,Yes
23,Male,Civil,0,6,0,No,Yes
23,Male,Mechanical,1,5,0,No,No
24,Male,Information Technology,2,6,0,No,Yes
23,Male,Electrical,0,5,1,No,No
23,Male,Information Technology,1,6,0,No,No
24,Female,Information Technology,0,6,0,No,Yes
24,Male,Information Technology,1,7,0,No,Yes
24,Male,Civil,1,7,0,Yes,Yes
23,Male,Information Technology,1,7,0,No,Yes
23,Male,Information Technology,1,6,0,No,Yes
24,Male,Electronics And Communication,1,6,0,Yes,Yes
24,Male,Electrical,0,7,0,No,No
23,Male,Information Technology,1,6,0,No,No
24,Male,Computer Science,0,6,0,No,Yes
23,Male,Electrical,0,6,0,No,No
23,Male,Information Technology,1,7,1,No,Yes
23,Male,Information Technology,1,7,1,No,Yes
24,Male,Information Technology,3,5,0,Yes,Yes
23,Male,Mechanical,0,6,1,No,Yes
23,Female,Information Technology,2,6,0,No,Yes
23,Male,Electronics And Communication,1,7,0,No,No
23,Male,Information Technology,1,5,0,No,Yes
23,Male,Information Technology,1,7,0,No,Yes
23,Male,Mechanical,2,7,1,No,Yes
24,Male,Information Technology,1,5,0,No,No
24,Male,Information Technology,1,7,0,No,No
24,Male,Computer Science,2,7,0,No,Yes
24,Male,Electronics And Communication,0,5,0,No,No
24,Male,Information Technology,1,7,0,No,Yes
23,Male,Mechanical,0,6,1,Yes,Yes
23,Male,Computer Science,0,6,0,No,No
23,Female,Mechanical,1,7,1,No,No
24,Male,Computer Science,1,6,0,No,Yes
23,Male,Mechanical,1,6,1,Yes,Yes
24,Male,Computer Science,0,6,0,No,Yes
24,Male,Mechanical,0,6,0,No,Yes
24,Male,Information Technology,0,5,0,No,Yes
23,Male,Electrical,0,5,0,No,No
24,Male,Electrical,0,5,1,No,No
23,Male,Computer Science,1,5,0,No,Yes
23,Male,Electronics And Communication,0,7,0,No,Yes
24,Male,Information Technology,3,7,0,No,Yes
24,Male,Computer Science,2,5,0,No,Yes
24,Male,Computer Science,2,5,0,No,Yes
23,Male,Civil,0,7,1,No,Yes
24,Male,Information Technology,1,6,0,No,Yes
23,Male,Mechanical,0,5,1,Yes,No
23,Male,Electrical,0,6,0,No,No
24,Male,Computer Science,1,7,0,No,Yes
23,Male,Electrical,0,5,0,No,No
24,Female,Information Technology,0,5,0,No,No
23,Male,Computer Science,1,5,0,No,Yes
23,Female,Electronics And Communication,2,6,0,No,No
24,Male,Civil,0,7,0,No,Yes
24,Male,Electronics And Communication,2,6,0,No,Yes
23,Male,Information Technology,0,5,0,No,No
24,Male,Computer Science,2,6,0,No,Yes
23,Male,Computer Science,1,6,0,No,No
24,Male,Computer Science,0,7,0,Yes,Yes
22,Male,Electronics And Communication,0,7,0,No,Yes
22,Male,Mechanical,0,5,1,No,No
22,Male,Computer Science,1,5,0,No,No
21,Male,Computer Science,1,6,0,No,Yes
21,Male,Civil,3,6,1,No,Yes
21,Male,Computer Science,0,6,0,Yes,Yes
21,Male,Electrical,0,5,0,No,No
21,Female,Information Technology,1,6,0,No,No
22,Male,Computer Science,1,5,0,No,No
22,Male,Computer Science,1,5,0,No,No
21,Male,Civil,1,6,0,No,Yes
21,Female,Information Technology,2,5,0,No,No
21,Male,Information Technology,1,6,0,No,Yes
22,Male,Civil,0,6,0,No,No
22,Male,Civil,0,7,0,Yes,No
21,Male,Information Technology,0,7,0,No,Yes
21,Male,Electronics And Communication,0,7,0,No,Yes
22,Female,Information Technology,1,7,1,No,No
22,Male,Electrical,1,6,0,No,Yes
21,Female,Mechanical,1,5,1,No,No
22,Female,Information Technology,1,6,1,No,No
22,Male,Computer Science,2,6,0,No,Yes
21,Male,Electronics And Communication,1,6,0,Yes,No
22,Male,Civil,0,5,0,No,No
21,Male,Electrical,2,5,0,Yes,No
22,Male,Civil,1,7,0,No,No
21,Female,Computer Science,1,7,1,No,No
21,Male,Computer Science,1,6,0,No,No
22,Female,Electronics And Communication,1,5,1,No,No
21,Female,Information Technology,0,6,0,No,No
22,Male,Computer Science,0,5,0,No,No
22,Male,Computer Science,0,5,0,No,No
21,Male,Mechanical,0,7,1,No,No
21,Male,Computer Science,0,5,0,No,No
21,Male,Information Technology,0,5,0,Yes,No
22,Female,Computer Science,1,5,1,No,No
21,Male,Electronics And Communication,2,6,1,Yes,No
21,Male,Information Technology,1,5,1,Yes,No
22,Female,Computer Science,2,7,1,No,No
21,Male,Computer Science,0,8,0,No,Yes
21,Male,Computer Science,2,7,0,No,Yes
22,Male,Computer Science,1,6,0,No,No
21,Female,Information Technology,2,6,1,No,Yes
21,Male,Electronics And Communication,1,7,0,No,No
21,Female,Computer Science,1,7,1,No,No
21,Male,Mechanical,0,8,1,No,Yes
22,Male,Mechanical,0,8,1,No,Yes
22,Male,Information Technology,1,6,0,No,No
